,City Name,Country,Date,Main Temp. (in F),Max Temp. (in F),Cloudiness (in %),Humidity (in %),Wind Speed (in MPH),Latitude,Longitude
0,Fengzhen,CN,1532356401,67.15,67.15,0,79,5.37,40.43,113.15
1,Puri,ID,1532350800,82.4,82.4,20,74,11.41,-7.54,112.45
2,Jamestown,AU,1532356401,52.12,52.12,20,73,13.65,-33.21,138.6
3,Pedra Azul,BR,1532356402,71.29,71.29,44,67,8.95,-16.01,-41.28
4,Labuhan,ID,1532356402,73.72,73.72,8,89,3.02,-2.54,115.51
5,Busselton,AU,1532356402,62.74,62.74,88,100,18.79,-33.64,115.35
6,Ketchikan,US,1532354340,54.18,55.4,90,93,4.7,55.34,-131.65
7,Rikitea,PF,1532356402,74.62,74.62,36,99,20.02,-23.12,-134.97
8,Boysun,UZ,1532356403,79.39,79.39,0,21,2.24,38.2,67.2
9,Arraial do Cabo,BR,1532354400,77.88,78.8,20,74,9.17,-22.97,-42.02
10,Denpasar,ID,1532352600,78.8,78.8,20,78,13.87,-8.65,115.22
11,Punta Arenas,CL,1532354400,39.2,39.2,75,93,23.04,-53.16,-70.91
12,Hermanus,ZA,1532356403,78.94,78.94,0,24,11.52,-34.42,19.24
13,Puerto Ayora,EC,1532354400,75.2,75.2,40,69,13.87,-0.74,-90.35
14,Port Alfred,ZA,1532356404,76.51,76.51,0,46,3.02,-33.59,26.89
15,Bluff,AU,1532356404,45.1,45.1,0,88,4.14,-23.58,149.07
16,Sahuaripa,MX,1532356404,85.69,85.69,0,42,1.68,29.05,-109.23
17,Yellowknife,CA,1532354400,57.2,57.2,90,71,4.7,62.45,-114.38
18,Mar del Plata,AR,1532356405,49.78,49.78,0,57,16.78,-46.43,-67.52
19,Strzelin,PL,1532356200,82.4,82.4,0,39,10.29,50.78,17.07
20,Port Elizabeth,US,1532354880,79.86,80.6,75,78,13.87,39.31,-74.98
21,Provideniya,RU,1532356405,46.0,46.0,88,100,3.69,64.42,-173.23
22,Siyabuswa,ZA,1532356405,67.33,67.33,0,26,3.69,-25.11,29.06
23,Albany,US,1532355360,75.15,78.8,90,83,4.7,42.65,-73.75
24,Nanortalik,GL,1532356406,41.41,41.41,0,98,3.58,60.14,-45.24
25,Ostrovnoy,RU,1532356406,80.11,80.11,0,49,19.46,68.05,39.51
26,Seoul,KR,1532354400,82.36,86.0,0,74,4.7,37.57,126.98
27,Hilo,US,1532354760,65.89,75.2,90,94,4.7,19.71,-155.08
28,Vaini,IN,1532356406,70.93,70.93,92,98,8.16,15.34,74.49
29,Necochea,AR,1532356407,46.0,46.0,0,86,13.2,-38.55,-58.74
30,Itacarambi,BR,1532356407,80.56,80.56,0,43,8.72,-15.1,-44.09
31,Vila Franca do Campo,PT,1532354400,80.6,80.6,20,61,11.41,37.72,-25.43
32,Rio Gallegos,AR,1532354400,42.8,42.8,0,60,12.75,-51.62,-69.22
33,Somerset,US,1532354100,68.52,71.6,90,94,6.93,37.09,-84.6
34,Ushuaia,AR,1532354400,41.18,42.8,20,89,10.29,-54.81,-68.31
